stage	day	pov	backgroundImage	KorChapter	EngChapter	KorIntro	EngIntro	KorSummary	EngSummary
11	0	reina	PartyRoom	초대	Invitation	레이나와 핀토스 가 인물들은 황제의 신년 연회에 초대 받아 앙숙인 하스켈 가와 대면하게 된다.	Reina and Pintos clan are invited to the Emperor's New Year party and face Haskell clan, dissenters of Pintos.	황제의 신년 연회에서 예상치 못한 공격을 받고, 레이나 핀토스는 루키어스 하스켈과의 불안한 동맹을 맺는다.	Reina and Pintos clan are invited to the Emperor's New Year party and face Haskell clan, dissenters of Pintos.
12	0	reina	Garden	초대	Invitation	레이나와 핀토스 가 인물들은 황제의 신년 연회에 초대 받아 앙숙인 하스켈 가와 대면하게 된다.	Reina and Pintos clan are invited to the Emperor's New Year party and face Haskell clan, dissenters of Pintos.	황궁 연회장을 간신히 빠져나온 레이나 핀토스와 루키어스 하스켈은 황궁 별관의 포위망을 돌파한다.	Reina and Pintos clan are invited to the Emperor's New Year party and face Haskell clan, dissenters of Pintos.
21	1	noel	PartyRoom	수색	Search	노엘은 친위국의 집행부를 대동해 모나드 황제의 유해를 수색한다.	Noel searched for the remains of Emperor Monad, accompanied by the executive branch of the bodyguard agency.	핀토스 저택에 진입한 노엘이 모나드의 제안을 거절하자, 저택 안의 에테르 사병들이 그들을 일제히 공격한다.	Noel searched for the remains of Emperor Monad, accompanied by the executive branch of the bodyguard agency.
31	2	yeong	Forest	생존	Survival	영은 트리아나를 데리고 연회장을 탈출하지만, 트리아나는 도주할 의지가 별로 없는 듯 보인다.	Yeong escapes from the ballroom with Triana, but Triana seems to have little willing to escape.	연회장을 탈출한 영과 트리아나 페르단트는 제이선 어셈블리가 이끄는 제국군의 추격에서 도망친다.	Yeong escapes from the ballroom with Triana, but Triana seems to have little willing to escape.
41	3	lucius	Village	신념	Belief	추격대를 따돌린 루키어스는 시장에서 곤란에 빠진 인물을 마주친다.	Lucius, who dismisses the pursuit, faces a person who is in trouble in the marketplace.	추격대를 따돌린 루키어스 하스켈은 시장에서 마주친 수상한 사람들과 함께 제국군과 대적한다.	Lucius, who dismisses the pursuit, faces a person who is in trouble in the marketplace.
51	4	bianca	PartyRoom	체포	Arrest	비앙카는 실수를 만회하고 핀토스 가의 잔당들을 잡아들이기 위해 러브레이스 가문을 방문한다.	Bianca visits the Lovelace family to make up for mistakes and catch the rest of the Pintos.	비앙카 프레이와 제국군은 카샤스티 러브레이스를 체포하기 위해 러브레이스 후작가에 쳐들어간다.	Bianca visits the Lovelace family to make up for mistakes and catch the rest of the Pintos.
61	5	lenien	RockMountain	발굴	Excavation	어렵사리 국경을 넘은 리니안은 뜻밖의 인물과 조우한다.	Lenien is confronted with an unexpected person right after crossing the border.	리니안 레온하르트는 레이나 핀토스를 우연히 만나, 통신기를 구동시키기 위해 수정을 함께 수집한다.	Lenien is confronted with an unexpected person right after crossing the border.
71	6	eren	InCamp	아이	Child	에렌은 아이라는 이유로 자신을 보호하려는 루베리카가 귀찮다. 그러던 중 그들은 곤경에 처한 아이들을 만나게 된다.	Luvericha wants to protect Eren because he is a child, but he thinks she is annoying. Then they meet the children in trouble.	밀항 중이던 에렌 오블리비언과 루베리카 하스켈은 함께 타고 있던 아이들을 탈출시키기 위해 선원들과 교전한다.	Luvericha wants to protect Eren because he is a child, but he thinks she is annoying. Then they meet the children in trouble.
81	7	json	Forest	요정	Fairy	요정들의 영역에 발을 들인 제이선은 고민이 깊어간다.	Jason is deeply troubled after stepping into the realm of the fairies.	제이선 어셈블리는 트리아나 페르단트와 협력하여 요정들과의 전투에 돌입한다.	Jason is deeply troubled after stepping into the realm of the fairies.
91	11	arcadia	City	잠복	Ambush	아르카디아는 명령에 따라 핀토스 저택을 에워싸고 잠복하지만, 그의 머릿속은 여러 생각으로 복잡하다.	Arcadia surrounds the Pintos mansion according to orders and lurks, but his mind is complicated with many thoughts.	아르카디아는 세피아 로젠힐트와 함께 핀토스 저택에서 나오는 레이나 핀토스와 리니안 레온하르트를 공격한다.	Arcadia surrounds the Pintos mansion according to orders and lurks, but his mind is complicated with many thoughts.
101	12	karldrich	RockMountain_Night	의뢰	Quest	우군을 찾아 마뉴부르크를 방문한 칼드리치와 루키어스는 슈미트의 부탁을 받는다.	Karldrich and Lucius visit Schmidt for help, then get asked to do a favor.	슈미트 디아즈의 의뢰를 받은 칼드리치 아돌과 루키어스 하스켈은 슈미트의 딸, 큐리 디아즈와 함께 수인들을 쫓아낸다.	Karldrich and Lucius visit Schmidt for help, then get asked to do a favor.
102	12	karldrich	RockMountain_Night	의뢰	Quest	우군을 찾아 마뉴부르크를 방문한 칼드리치와 루키어스는 슈미트의 부탁을 받는다.	Karldrich and Lucius visit Schmidt for help, then get asked to do a favor.	일행은 친위국을 배신한 제이선 어셈블리, 그리고 그와 함께하던 트리아나 페르단트와 합류해 그들을 쫓아오던 제국군과 전투를 벌인다.	Karldrich and Lucius visit Schmidt for help, then get asked to do a favor.
111	13	sepia	Prison	충성	Loyalty	세피아는 한결 같은 자세로 경비를 보던 중 수상한 낌새를 눈치 챈다.	Sepia sees a sense of suspicion while watching the guard in a uniform posture.	세피아 로젠힐트와 제국군들은 카샤스티 러브레이스와 비밀 조직원들을 탈출시키려는 자들과 교전한다.	Sepia sees a sense of suspicion while watching the guard in a uniform posture.
