Script#35			
*	BG	Library	
*	BGM	BGM_Sad	
*	Gray		
tien	-	라티스 의료관, 당신이 소견서를 써 줬죠.
tien	-	“일상 생활은 가능하지만, 더 이상 수련은 어렵다”고.
ratice	-	설마……! 아, 아냐. 그럴 리가 없어.
ratice	-	난 그냥 평범하게 키우라는 뜻으로…….
tien	-	그 아이들은 다 죽었어!
tien	-	쓸모가 없어졌다고 당신이 인증했기 때문에 살해당했다고요!!
*	FO		
*	Colorful		
*	BG	Grassland	
*	BGM	BGM_Normal	
*	FI		
blank	-	<color=yellow>제국력 518년 2월 20일, 국경지대 프론티</color>
lucius	-	……무슨 일 있으신지요?
blank	-	옆에서 들린 한 마디에 정신이 돌아왔다. 그렇게 밖으로 티가 났나?
karldrich	-	아까부터 계속 죽겠다는 얼굴이던데. 뭐 불편한 거 있어?
ratice	-	아, 아니, 괜찮습니다. 어차피 거의 다 왔기도 하고.
ratice	-	(……내가 져야 할 업보니까.)
blank	-	과거로 돌아가서, 그 문서들에 서명한 손을 잘라버리고 싶을 만큼 후회스럽다.^기억을 떠올릴 때마다 고통스러운 지금보다는 나을 테니까.
ratice	-	(내가, 이 손으로, 그 애들을 죽인 거나 다름없어.)
blank	-	속죄하기 위해서는, 제국을 무너뜨리는 수밖에 없다.^그것이 나를 아직까지 살려둔 뮤의 뜻일 테니까.
json	-	검문소가 보이는군요. 저기만 통과하면 국경선 부근까진 큰 위험 없이 도착할 수 있을 겁니다.
karldrich	-	벌써 여기까지 오다니, 확실히 셀다라는 양반이 도와준 게 크군.^놈들 눈을 피해서 터덜터덜 기어다녔으면 반도 못 왔을 걸.
blank	-	대공은 겉으로는 제국 교단의 독실한 신자로 알려져 있다.
blank	-	덕분에 우리를 위한 가짜 신분들을 만들어, 정기적으로 벽지에 찾아가는 선교단의 일원으로 포함시켜줄 수 있었던 것이다.
curi	-	흥, 아저씨야 그렇겠지. 난 바람도 못 쐬고 쉴 때도 마차에 처박혀 있어야 해서 답답하다구.
curi	-	나 같은 애가 눈에 띄면 이상하다는 건 알지만…….
luvericha	-	……저 사람들과 같이 움직여야 하는 것도 불편하고요.
blank	-	바로 앞에 있는, 핀토스 가 일행이 탄 마차가 멈춰서서 검문을 받고 있었다.
*	BGM	BGM_Tense	
ratice	-	음? 그러고 보니…….
blank	-	앞 마차가 멈춘지도 꽤 오래 지났다.^본래 제국 교단의 행렬이라면 검문은 형식적으로만 거치고 금방 마쳐야 할 터.
blank	-	이렇게 오래 걸린다면 뭔가 잘못된 게 틀림없다.
*	SE	Slash	
yeong	-	……!
*	BGM	BGM_Urgent	
blank	-	한 명이 마차에서 뛰어내리며 검문소 위병을 베어버렸다.
blank	-	이런 사태는 바라지 않았지만, 더는 교단의 선교사인 척 위장을 유지할 수 없을 것이다.
bianca	shout	역시! 쥐새끼가 있었어!
blank	-	익숙한 목소리에 반사적으로 고개를 돌렸다.^역시 내가 아는 인물이었다.
blank	-	특유의 카랑카랑한 목소리. 까무잡잡한 피부.^그리고 시원하게 짧은 하늘빛 머리카락의, 아직은 앳된 여자아이.
ratice	-	(하필이면 제국을 위해 싸워야 하는 자가 되었구나.)
blank	-	죄책감을 잠시나마 달래기 위해 거둔 아이가,^이제는 그 죄를 씻기 위해 내가 일어선 자리의 반대편에 서 있다.
blank	-	얼마나 얄궂은 운명인가. 세상을 뒤바꿀 사건은 이미 시작된 것이다.
sepia	-	목표 발견, 각자 위치를 유지하고 교전을 개시합니다.
lucius	-	여기까지 따라오다니.
json	-	우리가 숨어들었다는 사실이 새나간 것 같군. 놈들의 정보망이 대단한 건 알았지만 황제 친족의 계획까지…….
ratice	-	저쪽이 들켰다면 이쪽이라고 해서 안전할 리는 없겠군요.
karldrich	-	그렇다면 가서 도와주는 수밖에!
curi	-	그러죠!
blank	-	그리고 가장 늦게 합류하는 사람들은.
luvericha	-	…….
lucius	-	리카, 지금은 접어두자. 더 중요한 일을 위해.
blank	-	적과 힘을 합치기 위해 마음을 다잡고 있었다.
*	Battle	181
