Script#32			
*	BG	MeetingRoom	
*	BGM	BGM_Urgent	
schmidt	-	살려주시오! 투항하겠소!
blank	-	그는 점점 상황이 나빠지자 사색이 되어 병사들에게 소리쳤다.
schmidt	-	반역자들은 인연이 있었다는 이유로 함부로 여기 찾아온 것이오.^난 저들에게 위협을 받아 거처를 제공했을 뿐이오!
schmidt	-	자, 큐리야! 이리 와!
curi	-	앗……!
blank	-	난 어느새 그에게 팔이 붙잡혀 끌려가고 있었다.
json	-	소용없어. 투항해도 결국 죽는다.
lucius	-	…….
blank	-	루키 오빠도 어두운 표정으로 고개를 끄덕이고 있었다.
curi	-	(황성 근처에서 일하던 제이선 씨나 루키 오빠의 판단이 맞을 가능성이 훨씬 높겠지.)
blank	-	아무리 운 좋은 경우라도, 난 평생 감옥에서 썩을 아비를 둔 사실상의 고아가 될 거다. 그럴 바에는……
curi	-	이거 놔요! 싸우는 게 나아요. 당장 놓지 않으면…… 후회할 거예요.
blank	-	어차피 평소에도 제멋대로인 사람이니 말한다고 놓아줄 거라곤 기대하지 않는다.
blank	-	붙잡힌 왼팔은 어쩔 수 없으니 오른손만으로 가방을 뒤져 필요한 것들을 찾아야 한다.
blank	-	이 작품을 쓰게 될 거라고는 생각하지 않았는데…….
schmidt	-	안 된다. 네 엄마를 지키지 못한 내가 너까지 잃을 수는……
*	SE	BreakingGlass	
curi	-	엄마가 죽은 건 당신 때문이잖아!!!
blank	-	순간, 나도 모르게 그의 얼굴에 병을 집어던졌다.
schmidt	-	아악!
curi	-	(진정. 진정해야 해. 목숨이 걸려 있어.)
blank	-	방금 건 공기 중에 장시간 노출시켜 둔 독한 술.^눈이 좀 따가울 뿐 피해는 없다.
karldrich	-	야, 너…….
*	SE	AlkaliBomb	
blank	-	그리고, 이건 중정석 추출물을 가열해 변형시킨 것.
schmidt	-	으, 크윽…….
blank	-	그는 얼굴을 감싼 채 엎드려 괴로워하고 있었다.
curi	-	(당신은 그래도 싸.^그리고 이 방법은, 조금이라도 의심을 사면 끝이니까.)
*	SE	Run	
blank	-	다들 당황한 상태.^정신들을 차리기 전에 나는 다른 사람들이 있는 쪽으로 달려갔다.
darkenir	-	대체 무슨 짓을…….
bianca	-	일단 쓰러진 놈부터 붙잡아!
blank	-	그 말에 부하들이 밧줄을 들고 다가갔다.
curi	-	……다들 마음의 준비를 하세요. 도망칠 준비.
blank	-	그들이 포로를 결박시키기 위해 자세를 잡는 순간.
triana	-	설마 너……! 안 돼, 연금술은 그렇게 쓰는 힘이……
*	SE	Bomb	
blank	-	그곳에서 큰 폭발이 일어났다.^성공할지 확신은 없었지만, 다행히 생각대로 된 것 같다.
*	SE	Fire	
curi	-	지금이 아니면 기회가 없어요, 빨리!
schmidt	-	그……래, 큐리야, 가거라, 어서…….
karldrich	-	놈들의 진형이 무너졌어! 약점은 저쪽이다! 따라와!
*	Era
